,3.Lig 8.Grup,O,G,B,M,A,Y,P,
1,U ş akspor,30,18,8,4,51,24,44,Sampiyon
2,Bursaspor Amatr.,30,16,11,3,42,14,43,
3,Bergamaspor,30,19,5,6,47,20,43,
4,Ayvalıkgücü,30,13,12,5,41,18,38,
5,Çanspor,30,12,13,5,36,22,37,
6,Soma Sotesspor,30,12,7,11,39,38,31,
7,Edremitspor,30,12,6,12,35,35,30,
8,Erdekspor,30,11,7,12,32,30,29,
9,Bigaspor,30,9,11,10,30,31,29,
10,Balıkesirspor,30,10,8,12,29,32,28,
11,Akhisarspor,30,8,11,11,32,37,27,
12,Ala s ehirspor,30,10,4,16,33,56,24,
13,Gönenspor,30,6,11,13,16,31,23,
14,Burhaniyespor,30,6,10,14,20,33,22,
15,Bursa Kültürspor,30,7,4,19,22,56,18,Amatör
16,Karacabeyspor,30,4,6,20,30,58,14,Amatör
