1982-83 2.Lig B Grubu Puan Durumu
,Takım,O,G,B,M,A,Y,Puan
1,Denizlispor,30,20,6,4,38,12,46,Ş ampiyon
2,Kar ş ıyaka,30,17,7,6,45,16,41,
3,Altınordu,30,18,4,8,59,24,40,
4,İ zmirspor,30,16,8,6,37,19,40,
5,Göztepe,30,14,8,8,31,19,36,
6,Mu ğ laspor,30,12,9,9,30,26,33,
7,Burdurspor,30,13,6,11,31,22,32,
8,Ispartaspor,30,11,8,11,30,33,30,
9,Aydınspor,30,12,5,13,44,39,29,
10,Balıkesirspor,30,9,11,10,29,36,29,
11,Bandırmaspor,30,11,7,12,25,36,29,
12,U ş akspor,30,10,8,12,23,33,28,3.Lig
13,Ye ş ilova,30,8,8,14,27,34,24,3.Lig
14,Çanakkalespor,30,5,9,16,28,48,19,3.Lig
15,Manisaspor,30,3,9,18,26,53,15,3.Lig
16,Tirespor,30,0,9,21,14,16,9,3.Lig
