1979-80 Sezonu 2.Lig B Grubu Puan Durumu
,Takım,O,G,B,M,A,Y,Puan
1,Kocaelispor,30,20,5,5,53,20,45,Ş ampiyon
2,Düzcespor,30,13,10,7,37,21,36,Play-Off
3,Antalyaspor,30,14,4,12,38,26,32,
4,Sarıyer,30,11,10,9,23,21,32,
5,Edirnespor,30,14,3,13,26,26,31,
6,Vefa,30,10,10,10,23,23,30,
7,Aydınspor,30,9,11,10,30,26,29,
8,Altınordu,30,9,11,10,28,30,29,
9,Tekirda ğ spor,30,11,7,12,30,33,29,
10,Denizlispor,30,10,9,11,28,31,29,
11,Balıkesirspor,30,11,7,12,29,38,29,
12,Sakaryaspor,30,10,9,11,25,35,29,
13,Bandırmaspor,30,10,8,12,26,28,28,
14,Lüleburgazspor,30,8,11,11,23,27,27,
15,Ispartaspor,30,10,7,13,25,42,27,
16,Tirespor,30,5,8,17,25,42,16,-2 puan
