1978-79 Sezonu 2.Lig Kırmızı Grup Puan Durumu
,Takım,O,G,B,M,A,Y,Puan
1,Gaziantepspor,30,20,8,2,42,12,48,Ş ampiyon
2,Kayserispor,30,19,5,6,63,22,43,Play-Off
3,Antalyaspor,30,10,14,6,29,22,34,
4,Düzcespor,30,11,12,7,25,21,34,
5,Kocaelispor,30,13,7,10,41,42,33,
6,Mersin I.Y .,30,9,12,9,28,26,30,
7,Edirnespor,30,11,8,11,29,29,30,
8,Denizlispor,30,9,10,11,22,24,28,
9,Esk. Demirspor,30,11,5,14,30,32,27,
10,Balıkesirspor,30,8,11,11,24,28,27,
11,Sarıyer,30,8,11,11,26,32,27,
12,D.Ç.Karabük,30,9,9,12,25,31,27,
13,Urfaspor,30,8,10,12,21,35,26,
14,Bandırmaspor,30,9,9,12,25,31,25,-2 puan
15,Gençlerbirli ğ i,30,9,4,17,20,29,22,3.Lig
16,Konyaspor,30,5,7,18,15,49,17,3.Lig
