1983-84 Sezonu 2.Lig B Grubu Puan Durumu
,Takım,O,G,B,M,A,Y,Puan
1,Altay,32,23,6,3,55,20,52,Ş ampiyon
2,Mersin İ d.Y.,32,19,8,5,53,25,46,
3,Altınordu,32,13,13,6,47,29,39,
4,Izmirspor,32,12,11,9,33,28,35,
5,Vefa Simtel,32,10,15,7,32,27,35,
6,Mug laspor,32,19,14,9,35,31,32,
7,PTT,32,12,8,12,35,34,32,
8,Konyaspor,32,11,10,11,33,34,32,
9,Sekerspor,32,9,11,12,27,26,29,
10,Burdurspor,32,8,13,11,28,33,29,
11,Kütahyaspor,32,10,8,14,28,34,28,
12,Alibeyköy,32,9,10,13,23,39,28,
13,Y.Afyonspor,32,9,9,14,26,35,27,
14,Balıkesirspor,32,10,7,15,32,42,27,
15,Anadoluspor,32,7,13,12,23,36,27,
16,Ispartaspor,32,7,11,14,29,40,25,3.Lig
17,Aydınspor,32,6,9,17,20,46,21,3.Lig
